Datetime,Close,High,Low,Open,Volume
2024-11-25 14:30:00+00:00,233.1399994,233.1499939,231.4199982,231.8399963,5737119
2024-11-25 14:45:00+00:00,232.6000061,233.1849976,231.9900055,232.9400024,1747576
2024-11-25 15:00:00+00:00,231.9900055,232.5800018,231.8300018,232.5599976,1444361
2024-11-25 15:15:00+00:00,232,232.1100006,231.6199036,231.9799957,916670
2024-11-25 15:30:00+00:00,232.6649933,232.8009949,231.7299957,231.9799957,1264214
2024-11-25 15:45:00+00:00,231.8950043,232.6950073,231.8699951,232.6600037,885660
2024-11-25 16:00:00+00:00,232.2382965,232.3199005,231.7700958,231.8880005,826831
2024-11-25 16:15:00+00:00,231.7100067,232.2799988,231.7003021,232.2299957,823202
2024-11-25 16:30:00+00:00,231.1300049,231.8500061,231.0749969,231.7050018,1028044
2024-11-25 16:45:00+00:00,230.8999939,231.4199982,230.8899994,231.1399994,642986
2024-11-25 17:00:00+00:00,230.0399933,231.0299988,229.9600067,230.8800049,1272294
2024-11-25 17:15:00+00:00,230.2068024,230.4284058,229.9900055,230.0399933,738938
2024-11-25 17:30:00+00:00,229.8699951,230.4799957,229.7601013,230.1999969,653926
2024-11-25 17:45:00+00:00,230.1100006,230.3999939,229.7400055,229.8800049,1146371
2024-11-25 18:00:00+00:00,230.3300018,230.3300018,230.0749969,230.1049957,618452
2024-11-25 18:15:00+00:00,230.4149933,230.5800018,230.0950012,230.3325958,529222
2024-11-25 18:30:00+00:00,230.3249969,230.6100006,230.25,230.4250031,494584
2024-11-25 18:45:00+00:00,230.2850037,230.6100006,230.1999969,230.3200073,476532
2024-11-25 19:00:00+00:00,230.6100006,230.6499939,230.2400055,230.2799988,507413
2024-11-25 19:15:00+00:00,230.6849976,230.7400055,230.2599945,230.6100006,579262
2024-11-25 19:30:00+00:00,230.6499939,230.6799927,230.3049927,230.6649933,684442
2024-11-25 19:45:00+00:00,230.6799927,230.8500061,230.6000061,230.6450043,576486
2024-11-25 20:00:00+00:00,230.3200073,230.7180939,230.2749939,230.6799927,757675
2024-11-25 20:15:00+00:00,230.5200043,230.5765076,230.0950012,230.3300018,733428
2024-11-25 20:30:00+00:00,230.3500061,230.6950073,230.2200012,230.501297,1043084
2024-11-25 20:45:00+00:00,232.8800049,233.1699982,229.8450012,230.3549957,10301724
2024-11-26 14:30:00+00:00,234.5599976,234.9900055,233.4750061,234.0899963,6133417
2024-11-26 14:45:00+00:00,234.8099976,235.4349976,234.4700012,234.5700073,2850577
2024-11-26 15:00:00+00:00,233.9299927,235,233.7799988,234.7799988,1857892
2024-11-26 15:15:00+00:00,234.3600006,234.5200043,233.6499939,233.9349976,2137746
2024-11-26 15:30:00+00:00,235.4400024,235.4400024,234.2100067,234.3600006,1502745
2024-11-26 15:45:00+00:00,235.1699066,235.5700073,234.9799957,235.4400024,1658039
2024-11-26 16:00:00+00:00,235.2839966,235.4487,235.0700073,235.1699982,958043
2024-11-26 16:15:00+00:00,235.0399933,235.4600067,234.9400024,235.2899933,853418
2024-11-26 16:30:00+00:00,234.7700043,235.1047058,234.6600037,235.0399933,935251
2024-11-26 16:45:00+00:00,235.0299988,235.0599976,234.6101074,234.7700043,694554
2024-11-26 17:00:00+00:00,234.5099945,235.0599976,234.4799957,235.0200043,716395
2024-11-26 17:15:00+00:00,234.4799957,234.5200043,234.2700043,234.5099945,634546
2024-11-26 17:30:00+00:00,234.7700043,234.9600067,234.4299927,234.4799957,764494
2024-11-26 17:45:00+00:00,235,235.1799927,234.7149963,234.7599945,1329514
2024-11-26 18:00:00+00:00,234.7350006,235.0298004,234.5800018,235.0050049,840309
2024-11-26 18:15:00+00:00,234.5099945,234.7700043,234.3500061,234.7400055,581568
2024-11-26 18:30:00+00:00,234.7149963,234.75,234.4450073,234.5099945,449050
2024-11-26 18:45:00+00:00,235.0800018,235.0800018,234.4799957,234.7200012,742091
2024-11-26 19:00:00+00:00,234.9649963,235.1000061,234.6399994,235.0700073,851135
2024-11-26 19:15:00+00:00,234.9299927,235,234.5599976,234.9649963,710312
2024-11-26 19:30:00+00:00,234.8399963,235.0283966,234.75,234.9250031,600123
2024-11-26 19:45:00+00:00,234.9199982,235,234.7299957,234.8399963,590611
2024-11-26 20:00:00+00:00,235.1799927,235.2400055,234.8549957,234.9100037,861359
2024-11-26 20:15:00+00:00,234.8099976,235.25,234.7299957,235.1750031,948509
2024-11-26 20:30:00+00:00,234.7678986,234.9100037,234.6399994,234.8099976,1140520
2024-11-26 20:45:00+00:00,235.0800018,235.2799988,234.5800018,234.7700043,4318311
2024-11-27 14:30:00+00:00,234.2980042,235.6799927,233.8500061,234.4649963,3041829
2024-11-27 14:45:00+00:00,234.3200073,234.3899994,233.8101044,234.2899933,1313945
2024-11-27 15:00:00+00:00,234.9850006,235.4100037,233.979599,234.3300018,1480348
2024-11-27 15:15:00+00:00,235.1600037,235.4786072,234.7507935,234.9900055,1222002
2024-11-27 15:30:00+00:00,235.5500946,235.5700073,234.7899933,235.1600037,1179137
