Price,Close,High,Low,Open,Volume
2024-11-25 14:30:00+00:00,232.3200073,232.5800018,231.4199982,231.8399963,3645145
2024-11-25 14:35:00+00:00,232.6838989,232.8200073,232.1999969,232.3150024,1107931
2024-11-25 14:40:00+00:00,233.1399994,233.1499939,232.4199982,232.6799927,984043
2024-11-25 14:45:00+00:00,232.6900024,233.1849976,232.6257935,232.9400024,549490
2024-11-25 14:50:00+00:00,232.4019928,232.7599945,231.9900055,232.6950073,676341
2024-11-25 14:55:00+00:00,232.6000061,232.7799988,232.3600006,232.3999939,521745
2024-11-25 15:00:00+00:00,232.1300049,232.5800018,232.0599976,232.5599976,473949
2024-11-25 15:05:00+00:00,232.0099945,232.3399963,231.9499969,232.1199951,479776
2024-11-25 15:10:00+00:00,231.9900055,232.1598969,231.8300018,232.0299988,490636
2024-11-25 15:15:00+00:00,231.7100067,232.0299988,231.6199036,231.9799957,352199
2024-11-25 15:20:00+00:00,232.0200043,232.0249939,231.6950073,231.7149963,304686
2024-11-25 15:25:00+00:00,232,232.1100006,231.7312927,232.0200043,259785
2024-11-25 15:30:00+00:00,231.8699951,232.1900024,231.7299957,231.9799957,531767
2024-11-25 15:35:00+00:00,232.3000031,232.3999939,231.8000031,231.8699951,399254
2024-11-25 15:40:00+00:00,232.6649933,232.8009949,232.2899933,232.3000031,333193
2024-11-25 15:45:00+00:00,232.6049957,232.6950073,232.4550018,232.6600037,271962
2024-11-25 15:50:00+00:00,232.2100067,232.6600037,232.2100067,232.6031952,291471
2024-11-25 15:55:00+00:00,231.8950043,232.2953033,231.8699951,232.2200012,322227
2024-11-25 16:00:00+00:00,232.0350037,232.0802002,231.7901001,231.8880005,319782
2024-11-25 16:05:00+00:00,231.8899994,232.0800018,231.8300018,232.0399933,181262
2024-11-25 16:10:00+00:00,232.2382965,232.3199005,231.7700958,231.8883057,325787
2024-11-25 16:15:00+00:00,232.1799927,232.2799988,232.0225067,232.2299957,192490
2024-11-25 16:20:00+00:00,232.0700073,232.2350006,232,232.1699982,192456
2024-11-25 16:25:00+00:00,231.7100067,232.0800018,231.7003021,232.0800018,438256
2024-11-25 16:30:00+00:00,231.1600037,231.8500061,231.1300964,231.7050018,480799
2024-11-25 16:35:00+00:00,231.2649994,231.3999939,231.0950012,231.1549988,323306
2024-11-25 16:40:00+00:00,231.1300049,231.2599945,231.0749969,231.2599945,223939
2024-11-25 16:45:00+00:00,231.25,231.4199982,231.1101074,231.1399994,278470
2024-11-25 16:50:00+00:00,231.3399963,231.3898926,231.2100067,231.25,175419
2024-11-25 16:55:00+00:00,230.8999939,231.3600006,230.8899994,231.3150024,189097
2024-11-25 17:00:00+00:00,230.7561035,231.0299988,230.7243042,230.8800049,257527
2024-11-25 17:05:00+00:00,230.5059967,230.8800049,230.5050049,230.7599945,306815
2024-11-25 17:10:00+00:00,230.0399933,230.5099945,229.9600067,230.5099945,707952
2024-11-25 17:15:00+00:00,230.2149963,230.3000031,229.9900055,230.0399933,295447
2024-11-25 17:20:00+00:00,230.2453003,230.3000031,230.0399933,230.2100067,193155
2024-11-25 17:25:00+00:00,230.2068024,230.4284058,230.0200043,230.2400055,250336
2024-11-25 17:30:00+00:00,230.3999939,230.4649963,230.1199951,230.1999969,242058
2024-11-25 17:35:00+00:00,230.3150024,230.4799957,230.2111969,230.3899994,175858
2024-11-25 17:40:00+00:00,229.8699951,230.3200073,229.7601013,230.3099976,236010
2024-11-25 17:45:00+00:00,230.0014038,230.0899963,229.7400055,229.8800049,245458
2024-11-25 17:50:00+00:00,230.3740997,230.3999939,229.9900055,230.0068054,697377
2024-11-25 17:55:00+00:00,230.1100006,230.3899994,230.0299988,230.3849945,203536
2024-11-25 18:00:00+00:00,230.2200012,230.2700043,230.0749969,230.1049957,261275
2024-11-25 18:05:00+00:00,230.1600037,230.3000031,230.1100006,230.2299957,192512
2024-11-25 18:10:00+00:00,230.3300018,230.3300018,230.1499939,230.1649933,164665
2024-11-25 18:15:00+00:00,230.2299957,230.3587952,230.2100067,230.3325958,164964
2024-11-25 18:20:00+00:00,230.4398956,230.4499969,230.0950012,230.2299957,169579
2024-11-25 18:25:00+00:00,230.4149933,230.5800018,230.3899994,230.4299927,194679
2024-11-25 18:30:00+00:00,230.5800018,230.6100006,230.3200073,230.4250031,171000
2024-11-25 18:35:00+00:00,230.4499969,230.5800018,230.3800964,230.5800018,169839
2024-11-25 18:40:00+00:00,230.3249969,230.5200043,230.25,230.4600067,153745
2024-11-25 18:45:00+00:00,230.4299927,230.6100006,230.3150024,230.3200073,172137
2024-11-25 18:50:00+00:00,230.2498932,230.5200043,230.2498932,230.4649963,183414
2024-11-25 18:55:00+00:00,230.2850037,230.3200073,230.1999969,230.2200012,120981
2024-11-25 19:00:00+00:00,230.3450012,230.4299927,230.2400055,230.2799988,159200
2024-11-25 19:05:00+00:00,230.5399933,230.5500031,230.3500061,230.3500061,165654
2024-11-25 19:10:00+00:00,230.6100006,230.6499939,230.5099945,230.5449982,182559
2024-11-25 19:15:00+00:00,230.6900024,230.7400055,230.5200043,230.6100006,186338
2024-11-25 19:20:00+00:00,230.4100037,230.6999969,230.2599945,230.6900024,229751
2024-11-25 19:25:00+00:00,230.6849976,230.6999969,230.4199982,230.4199982,163173
2024-11-25 19:30:00+00:00,230.3350067,230.6799927,230.3049927,230.6649933,204199
2024-11-25 19:35:00+00:00,230.3800049,230.4250031,230.3300018,230.3300934,138858
2024-11-25 19:40:00+00:00,230.6499939,230.6699982,230.3699951,230.3699951,341385
2024-11-25 19:45:00+00:00,230.7749939,230.8500061,230.6000061,230.6450043,198831
2024-11-25 19:50:00+00:00,230.7250061,230.8399963,230.7100067,230.7799988,174083
2024-11-25 19:55:00+00:00,230.6799927,230.7599945,230.6100006,230.7200012,203572
2024-11-25 20:00:00+00:00,230.6900024,230.7098999,230.5700073,230.6799927,189281
