Date,Price,Interest_Rate,Inflation,GDP_Growth,VIX,DXY
2020-11-05,116.0660019,0.79,1.1757452138405844,0.6180123964487194,27.58,92.52999877929688
2020-11-06,115.9341507,0.83,1.1757452138405844,0.6180123964487194,24.86,92.2300033569336
2020-11-09,113.6191788,0.96,1.1757452138405844,0.6180123964487194,25.75,92.7300033569336
2020-11-10,113.277298,0.98,1.1757452138405844,0.6180123964487194,24.8,92.75
2020-11-11,116.7155685,0.98,1.1757452138405844,0.6180123964487194,23.45,93.04000091552734
2020-11-12,116.44207,0.88,1.1757452138405844,0.6180123964487194,25.35,92.95999908447266
2020-11-13,116.4909058,0.89,1.1757452138405844,0.6180123964487194,23.1,92.76000213623047
2020-11-16,117.5067673,0.91,1.1757452138405844,0.6180123964487194,22.45,92.56999969482422
2020-11-17,116.617897,0.87,1.1757452138405844,0.6180123964487194,22.71,92.41999816894531
2020-11-18,115.2894745,0.88,1.1757452138405844,0.6180123964487194,23.84,92.31999969482422
2020-11-19,115.8852844,0.86,1.1757452138405844,0.6180123964487194,23.11,92.29000091552734
2020-11-20,114.6154861,0.83,1.1757452138405844,0.6180123964487194,23.7,92.38999938964844
2020-11-23,111.2065125,0.86,1.1757452138405844,0.6180123964487194,22.66,92.51000213623047
2020-11-24,112.4958801,0.88,1.1757452138405844,0.6180123964487194,21.64,92.2300033569336
2020-11-25,113.335907,0.88,1.1757452138405844,0.6180123964487194,21.25,91.98999786376953
2020-11-27,113.8829117,0.84,1.1757452138405844,0.6180123964487194,20.84,91.79000091552734
2020-11-30,116.2857742,0.84,1.1757452138405844,0.6180123964487194,20.57,91.87000274658203
2020-12-01,119.8705673,0.92,1.3204191315779434,0.6180123964487194,20.77,91.30999755859375
2020-12-02,120.222229,0.95,1.3204191315779434,0.6180123964487194,21.17,91.12000274658203
2020-12-03,120.0854797,0.92,1.3204191315779434,0.6180123964487194,21.28,90.70999908447266
2020-12-04,119.4114761,0.97,1.3204191315779434,0.6180123964487194,20.79,90.69999694824219
2020-12-07,120.8766708,0.94,1.3204191315779434,0.6180123964487194,21.3,90.79000091552734
2020-12-08,121.4920273,0.92,1.3204191315779434,0.6180123964487194,20.68,90.97000122070312
2020-12-09,118.9523926,0.95,1.3204191315779434,0.6180123964487194,22.27,91.08999633789062
2020-12-10,120.3784866,0.92,1.3204191315779434,0.6180123964487194,22.52,90.79000091552734
2020-12-11,119.5677643,0.9,1.3204191315779434,0.6180123964487194,23.31,90.9800033569336
2020-12-14,118.9523926,0.9,1.3204191315779434,0.6180123964487194,24.72,90.70999908447266
2020-12-15,124.910759,0.92,1.3204191315779434,0.6180123964487194,22.89,90.47000122070312
2020-12-16,124.842392,0.92,1.3204191315779434,0.6180123964487194,22.5,90.44999694824219
2020-12-17,125.7117157,0.94,1.3204191315779434,0.6180123964487194,21.93,89.81999969482422
2020-12-18,123.7190781,0.95,1.3204191315779434,0.6180123964487194,21.57,90.0199966430664
2020-12-21,125.2526245,0.95,1.3204191315779434,0.6180123964487194,25.16,90.04000091552734
2020-12-22,128.8178864,0.93,1.3204191315779434,0.6180123964487194,24.23,90.6500015258789
2020-12-23,127.9192352,0.96,1.3204191315779434,0.6180123964487194,23.31,90.41000366210938
2020-12-24,128.9057922,0.94,1.3204191315779434,0.6180123964487194,21.53,90.33000183105469
2020-12-28,133.5162201,0.94,1.3204191315779434,0.6180123964487194,21.7,90.33999633789062
2020-12-29,131.7384644,0.94,1.3204191315779434,0.6180123964487194,23.08,90.01000213623047
2020-12-30,130.6151581,0.93,1.3204191315779434,0.6180123964487194,22.77,89.62999725341797
2020-12-31,129.6090851,0.93,1.3204191315779434,0.6180123964487194,22.75,89.94000244140625
2021-01-04,126.4052429,0.93,1.3553199782346148,4.276282527839981,26.97,89.87999725341797
2021-01-05,127.9680405,0.96,1.3553199782346148,4.276282527839981,25.34,89.44000244140625
2021-01-06,123.6604843,1.04,1.3553199782346148,4.276282527839981,25.07,89.52999877929688
2021-01-07,127.8801651,1.08,1.3553199782346148,4.276282527839981,22.37,89.83000183105469
2021-01-08,128.983902,1.13,1.3553199782346148,4.276282527839981,21.56,90.0999984741211
2021-01-11,125.985199,1.15,1.3553199782346148,4.276282527839981,24.08,90.54000091552734
2021-01-12,125.8094025,1.15,1.3553199782346148,4.276282527839981,23.33,90.05000305175781
2021-01-13,127.8508835,1.1,1.3553199782346148,4.276282527839981,22.21,90.31999969482422
2021-01-14,125.9168549,1.15,1.3553199782346148,4.276282527839981,23.25,90.23999786376953
2021-01-15,124.1879272,1.11,1.3553199782346148,4.276282527839981,24.34,90.77999877929688
2021-01-19,124.8619232,1.1,1.3553199782346148,4.276282527839981,23.24,90.5
2021-01-20,128.964386,1.1,1.3553199782346148,4.276282527839981,21.58,90.47000122070312
2021-01-21,133.6920166,1.12,1.3553199782346148,4.276282527839981,21.32,90.12999725341797
2021-01-22,135.8409271,1.1,1.3553199782346148,4.276282527839981,21.91,90.23999786376953
2021-01-25,139.6015625,1.05,1.3553199782346148,4.276282527839981,23.19,90.38999938964844
2021-01-26,139.8359833,1.05,1.3553199782346148,4.276282527839981,23.02,90.16999816894531
2021-01-27,138.7615051,1.04,1.3553199782346148,4.276282527839981,37.21,90.6500015258789
2021-01-28,133.9069214,1.07,1.3553199782346148,4.276282527839981,30.21,90.45999908447266
2021-01-29,128.8960266,1.11,1.3553199782346148,4.276282527839981,33.09,90.58000183105469
2021-02-01,131.0253906,1.09,1.667502410800381,4.276282527839981,30.24,91.0199966430664
2021-02-02,131.8556671,1.12,1.667502410800381,4.276282527839981,25.56,91.19999694824219
2021-02-03,130.8300323,1.15,1.667502410800381,4.276282527839981,22.91,91.12000274658203
2021-02-04,134.1999359,1.15,1.667502410800381,4.276282527839981,21.77,91.52999877929688
2021-02-05,133.7841492,1.19,1.667502410800381,4.276282527839981,20.87,91.04000091552734
2021-02-08,133.9309235,1.19,1.667502410800381,4.276282527839981,21.24,90.93000030517578
2021-02-09,133.0505371,1.18,1.667502410800381,4.276282527839981,21.63,90.44000244140625
2021-02-10,132.4440155,1.15,1.667502410800381,4.276282527839981,21.99,90.37000274658203
2021-02-11,132.1896667,1.16,1.667502410800381,4.276282527839981,21.25,90.41999816894531
2021-02-12,132.4244232,1.2,1.667502410800381,4.276282527839981,19.97,90.4800033569336
2021-02-16,130.2918701,1.3,1.667502410800381,4.276282527839981,21.46,90.51000213623047
2021-02-17,127.9930038,1.29,1.667502410800381,4.276282527839981,21.5,90.94999694824219
2021-02-18,126.8875885,1.29,1.667502410800381,4.276282527839981,22.49,90.58999633789062
2021-02-19,127.0441208,1.34,1.667502410800381,4.276282527839981,22.05,90.36000061035156
2021-02-22,123.2583237,1.37,1.667502410800381,4.276282527839981,23.45,90.01000213623047
2021-02-23,123.1213684,1.37,1.667502410800381,4.276282527839981,23.11,90.16999816894531
2021-02-24,122.6224747,1.38,1.667502410800381,4.276282527839981,21.34,90.18000030517578
2021-02-25,118.3573303,1.54,1.667502410800381,4.276282527839981,28.89,90.12999725341797
2021-02-26,118.62146,1.44,1.667502410800381,4.276282527839981,27.95,90.93000030517578
2021-03-01,125.0093613,1.45,2.623645747764214,4.276282527839981,23.35,91.04000091552734
2021-03-02,122.3974609,1.42,2.623645747764214,4.276282527839981,24.1,90.79000091552734
